Date,Close,Prediction,Pred_Binary,Actual,Return,Position,Strategy_Return,Position_Change,Transaction_Cost,Cumulative_Return,Strategy_Cumulative_Return,Buy_Hold_Value,Strategy_Value,Buy_Hold_Peak,Strategy_Peak,Buy_Hold_Drawdown,Strategy_Drawdown
2020-08-05,107.1286392211914,0.44086716,0,1,0.0036245821734683936,0.0,0.0,0.0,0.0,5.695470511205877,3.3757198785835483,66954.70511205877,43757.198785835484,66954.70511205877,44378.85547357218,0.0,-0.014007947728775783
2020-08-06,110.86629486083984,0.33652142,0,0,0.03488941581654181,0.0,0.0,0.0,0.0,5.929071565958733,3.3757198785835483,69290.71565958732,43757.198785835484,69290.71565958732,44378.85547357218,0.0,-0.014007947728775783
2020-08-07,108.34564971923828,0.39623865,0,1,-0.02273590133742176,0.0,-0.0,0.0,0.0,5.771532878475161,3.3757198785835483,67715.3287847516,43757.198785835484,69290.71565958732,44378.85547357218,-0.02273590133742176,-0.014007947728775783
2020-08-10,109.92045593261719,0.31619605,0,0,0.014535020256556619,0.0,0.0,0.0,0.0,5.869957246031737,3.3757198785835483,68699.57246031737,43757.198785835484,69290.71565958732,44378.85547357218,-0.008531347867355432,-0.014007947728775783
2020-08-11,106.65141296386719,0.40888467,0,1,-0.029740078323128194,0.0,-0.0,0.0,0.0,5.66564417945821,3.3757198785835483,66656.4417945821,43757.198785835484,69290.71565958732,44378.85547357218,-0.038017703236706724,-0.014007947728775783
2020-08-12,110.19590759277344,0.2804664,0,1,0.03323438977884985,0.0,0.0,0.0,0.0,5.887172796245446,3.3757198785835483,68871.72796245446,43757.198785835484,69290.71565958732,44378.85547357218,-0.006046808625722266,-0.014007947728775783
2020-08-13,112.1461181640625,0.30918884,0,0,0.01769766785256688,0.0,0.0,0.0,0.0,6.009059692836632,3.3757198785835483,70090.59692836633,43757.198785835484,70090.59692836633,44378.85547357218,0.0,-0.014007947728775783
2020-08-14,112.0461654663086,0.38635388,0,0,-0.0008912720243038352,0.0,-0.0,0.0,0.0,6.0028127140157315,3.3757198785835483,70028.12714015732,43757.198785835484,70090.59692836633,44378.85547357218,-0.0008912720243038352,-0.014007947728775783
2020-08-17,111.75363159179688,0.40591875,0,1,-0.0026108334300800617,0.0,-0.0,0.0,0.0,5.98452953647739,3.3757198785835483,69845.2953647739,43757.198785835484,70090.59692836633,44378.85547357218,-0.0034997784915874464,-0.014007947728775783
2020-08-18,112.68486022949219,0.38051808,0,1,0.008332871374568063,0.0,0.0,0.0,0.0,6.042730722716727,3.3757198785835483,70427.30722716727,43757.198785835484,70427.30722716727,44378.85547357218,0.0,-0.014007947728775783
2020-08-19,112.82623291015625,0.38988212,0,1,0.001254584514513768,0.0,0.0,0.0,0.0,6.051566423621338,3.3757198785835483,70515.66423621339,43757.198785835484,70515.66423621339,44378.85547357218,0.0,-0.014007947728775783
2020-08-20,115.32980346679688,0.33256468,0,1,0.022189613993708557,0.0,0.0,0.0,0.0,6.208037960612492,3.3757198785835483,72080.37960612492,43757.198785835484,72080.37960612492,44378.85547357218,0.0,-0.014007947728775783
2020-08-21,121.27303314208984,0.17579158,0,1,0.051532470329787916,0.0,0.0,0.0,0.0,6.57948596295374,3.3757198785835483,75794.8596295374,43757.198785835484,75794.8596295374,44378.85547357218,0.0,-0.014007947728775783
2020-08-24,122.72350311279297,0.347084,0,0,0.01196036689379798,0.0,0.0,0.0,0.0,6.670139395937058,3.3757198785835483,76701.39395937059,43757.198785835484,76701.39395937059,44378.85547357218,0.0,-0.014007947728775783
2020-08-25,121.7166976928711,0.34624502,0,1,-0.008203851702281773,0.0,-0.0,0.0,0.0,6.607214709796962,3.3757198785835483,76072.14709796962,43757.198785835484,76701.39395937059,44378.85547357218,-0.008203851702281773,-0.014007947728775783
2020-08-26,123.3719253540039,0.32954913,0,0,0.013599018807669783,0.0,0.0,0.0,0.0,6.710665365709473,3.3757198785835483,77106.65365709474,43757.198785835484,77106.65365709474,44378.85547357218,0.0,-0.014007947728775783
2020-08-27,121.89710235595703,0.3529123,0,0,-0.011954283714183833,0.0,-0.0,0.0,0.0,6.618489884302651,3.3757198785835483,76184.89884302652,43757.198785835484,77106.65365709474,44378.85547357218,-0.011954283714183833,-0.014007947728775783
2020-08-28,121.69963836669922,0.34974846,0,1,-0.0016199235703010517,0.0,-0.0,0.0,0.0,6.606148512968969,3.3757198785835483,76061.48512968968,43757.198785835484,77106.65365709474,44378.85547357218,-0.01355484225853043,-0.014007947728775783
2020-08-31,125.82672119140625,0.19615966,0,1,0.03391203852448199,0.0,0.0,0.0,0.0,6.864088514363704,3.3757198785835483,78640.88514363705,43757.198785835484,78640.88514363705,44378.85547357218,0.0,-0.014007947728775783
2020-09-01,130.8387451171875,0.22091061,0,0,0.039832746799123964,0.0,0.0,0.0,0.0,7.177336760962252,3.3757198785835483,81773.36760962252,43757.198785835484,81773.36760962252,44378.85547357218,0.0,-0.014007947728775783
2020-09-02,128.12794494628906,0.37592772,0,0,-0.0207186347474555,0.0,-0.0,0.0,0.0,7.007913507404934,3.3757198785835483,80079.13507404934,43757.198785835484,81773.36760962252,44378.85547357218,-0.02071863474745561,-0.014007947728775783
2020-09-03,117.86994171142578,0.4610347,0,1,-0.08006062408293069,0.0,-0.0,0.0,0.0,6.366794954399965,3.3757198785835483,73667.94954399965,43757.198785835484,81773.36760962252,44378.85547357218,-0.09912051200235861,-0.014007947728775783
2020-09-04,117.94795227050781,0.12704866,0,0,0.0006618359010732711,0.0,0.0,0.0,0.0,6.371670563776632,3.3757198785835483,73716.70563776632,43757.198785835484,81773.36760962252,44378.85547357218,-0.09852427761466132,-0.014007947728775783
2020-09-08,110.01065063476562,0.3647926,0,1,-0.06729495072147063,0.0,-0.0,0.0,0.0,5.8755943564523685,3.3757198785835483,68755.94356452368,43757.198785835484,81773.36760962252,44378.85547357218,-0.15918904192918482,-0.014007947728775783
2020-09-09,114.3985824584961,0.26689008,0,0,0.0398864273450974,0.0,0.0,0.0,0.0,6.149837251205367,3.3757198785835483,71498.37251205367,43757.198785835484,81773.36760962252,44378.85547357218,-0.12565209673913158,-0.014007947728775783
2020-09-10,110.66395568847656,0.45358416,0,0,-0.03264574341534743,0.0,-0.0,0.0,0.0,5.916425498841024,3.3757198785835483,69164.25498841023,43757.198785835484,81773.36760962252,44378.85547357218,-0.15419583404473292,-0.014007947728775783
2020-09-11,109.21106719970703,0.40713808,0,1,-0.013128832054941864,0.0,-0.0,0.0,0.0,5.825620910046222,3.3757198785835483,68256.20910046222,43757.198785835484,81773.36760962252,44378.85547357218,-0.1653002548909298,-0.014007947728775783
2020-09-14,112.48738098144531,0.35341358,0,1,0.029999833036583157,0.0,0.0,0.0,0.0,6.030388397718619,3.3757198785835483,70303.8839771862,43757.198785835484,81773.36760962252,44378.85547357218,-0.14025940190197916,-0.014007947728775783
2020-09-15,112.66290283203125,0.44024768,0,0,0.0015603692525731905,0.0,0.0,0.0,0.0,6.041358399608066,3.3757198785835483,70413.58399608066,43757.198785835484,81773.36760962252,44378.85547357218,-0.13891788910751823,-0.014007947728775783
2020-09-16,109.33782958984375,0.47785065,0,0,-0.029513470349195936,0.0,-0.0,0.0,0.0,5.833543477263172,3.3757198785835483,68335.43477263172,43757.198785835484,81773.36760962252,44378.85547357218,-0.16433141045556643,-0.014007947728775783
2020-09-17,107.5923843383789,0.44289944,0,0,-0.015963781776284436,0.0,-0.0,0.0,0.0,5.724454280433391,3.3757198785835483,67244.5428043339,43757.198785835484,81773.36760962252,44378.85547357218,-0.1776718414563493,-0.014007947728775783
2020-09-18,104.17955017089844,0.49870744,0,1,-0.03172003472612972,0.0,-0.0,0.0,0.0,5.511154357143772,3.3757198785835483,65111.543571437716,43757.198785835484,81773.36760962252,44378.85547357218,-0.20375611920162817,-0.014007947728775783
2020-09-21,107.33885955810547,0.178948,0,1,0.030325619394827807,0.0,0.0,0.0,0.0,5.708609145999488,3.3757198785835483,67086.09145999487,43757.198785835484,81773.36760962252,44378.85547357218,-0.17960953032707627,-0.014007947728775783
2020-09-22,109.02580261230469,0.4431346,0,0,0.015716051587878477,0.0,0.0,0.0,0.0,5.814041993420929,3.3757198785835483,68140.41993420929,43757.198785835484,81773.36760962252,44378.85547357218,-0.16671623138349267,-0.014007947728775783
2020-09-23,104.45258331298828,0.5023874,1,1,-0.04194621080276528,0.0,-0.0,0.0,0.0,5.5282187515459995,3.3757198785835483,65282.18751546,43757.198785835484,81773.36760962252,44378.85547357218,-0.20166932800040338,-0.014007947728775783
2020-09-24,105.52519226074219,0.3524504,0,1,0.010268859933697083,1.0,0.009268859933697082,1.0,0.001,5.59525611552216,3.416277813247234,65952.5611552216,44162.77813247234,81773.36760962252,44378.85547357218,-0.19347138214886528,-0.004868925500535082
2020-09-25,109.48408508300781,0.34177792,0,1,0.03751609201036654,0.0,-0.001,1.0,0.001,5.842684350784022,3.411861535433987,68426.84350784021,44118.61535433987,81773.36760962252,44378.85547357218,-0.1632135803125685,-0.005864056575034526
2020-09-28,112.09735870361328,0.47314534,0,0,0.023868981675502443,0.0,0.0,0.0,0.0,6.006012258164133,3.411861535433987,70060.12258164134,44118.61535433987,81773.36760962252,44378.85547357218,-0.14324034059473978,-0.005864056575034526
2020-09-29,111.24899291992188,0.49117947,0,1,-0.007568115729956637,0.0,-0.0,0.0,0.0,5.952989946588852,3.411861535433987,69529.89946588852,44118.61535433987,81773.36760962252,44378.85547357218,-0.14972439684987704,-0.005864056575034526
2020-09-30,112.92618560791016,0.42071006,0,1,0.01507602580452616,0.0,0.0,0.0,0.0,6.057813402442237,3.411861535433987,70578.13402442237,44118.61535433987,81773.36760962252,44378.85547357218,-0.13690561991582673,-0.005864056575034526
2020-10-01,113.88179016113281,0.4915453,0,0,0.008462205183664029,0.0,0.0,0.0,0.0,6.117538067601718,3.411861535433987,71175.38067601717,44118.61535433987,81773.36760962252,44378.85547357218,-0.12960193817868715,-0.005864056575034526
2020-10-02,110.20564270019531,0.48328084,0,1,-0.03228037999522204,0.0,-0.0,0.0,0.0,5.887781234149076,3.411861535433987,68877.81234149076,44118.61535433987,81773.36760962252,44378.85547357218,-0.15769871836138372,-0.005864056575034526
2020-10-05,113.59899139404297,0.47312203,0,0,0.030791061244286322,0.0,0.0,0.0,0.0,6.099863327967006,3.411861535433987,70998.63327967006,44118.61535433987,81773.36760962252,44378.85547357218,-0.13176336801230837,-0.005864056575034526
